ID,Name,Price,Colour,Size,Stock,Category 1, Category 2, Sale, Date, URL
07178414,Grey and black tube dress,£20.00,1,9,In stock,DP07178414,GREY AND BLACK TUBE DRESS,No sale,2013/08/12 12:21:36,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/grey-and-black-tube-dress-2182510?bi=1&ps=20
56318510,Black twist sleeve dress,£16.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:21:40,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/black-twist-sleeve-dress-2164807?bi=1&ps=20
12246588,Billie and Blossom Berry twist midi dress,£20.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:21:44,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/billie-and-blossom-berry-twist-midi-dress-2181411?bi=1&ps=20
12246230,Billie and Blossom Berry belted dress,£22.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:21:46,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/billie-and-blossom-berry-belted-dress-2183456?bi=1&ps=20
12246200,Billie and Blossom Floral belted dress,£24.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:21:49,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/billie-and-blossom-floral-belted-dress-2183465?bi=1&ps=20
12247404,Luxe monochrome embellished dress,£38.00,1,8,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:21:51,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/luxe-monochrome-embellished-dress-2175904?bi=1&ps=20
12246530,Billie and Blossom Navy twist midi dress,£20.00,1,9,In stock,DP12246530,BILLIE AND BLOSSOM NAVY TWIST MIDI DRESS,No sale,2013/08/12 12:21:59,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/billie-and-blossom-navy-twist-midi-dress-2182472?bi=1&ps=20
12251313,Billie and Blossom Berry bar slinky dress,£25.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:02,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/billie-and-blossom-berry-bar-slinky-dress-2177218?bi=1&ps=20
12248321,Billie and Blossom Cobalt pleat crepe dress,£28.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:05,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/billie-and-blossom-cobalt-pleat-crepe-dress-2189802?bi=1&ps=20
12248103,Luxe black and white jumpsuit,£42.00,1,8,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:08,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/luxe-black-and-white-jumpsuit-2182660?bi=1&ps=20
12247410,Luxe blue embellished dress,£38.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:11,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/luxe-blue-embellished-dress-2178120?bi=1&ps=20
07185542,Gold foil wrap dress,£20.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:14,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/gold-foil-wrap-dress-2182588?bi=1&ps=20
07183803,Ivory black tube dress,£20.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:17,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/ivory-black-tube-dress-2186106?bi=1&ps=20
07181403,Black/white check 2in1 skater dress,£20.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:21,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/blackwhite-check-2in1-skater-dress-2189520?bi=1&ps=20
07183023,Ink embellished babydoll dress,£35.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:24,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/ink-embellished-babydoll-dress-2175729?bi=1&ps=20
07183081,Blush embellished babydoll dress,£35.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:27,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/blush-embellished-babydoll-dress-2187172?bi=1&ps=20
07178410,Blue 3/4 sleeve tube dress,£18.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:30,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/blue-34-sleeve-tube-dress-2182501?bi=1&ps=20
07178454,Camel and black stripe tube dress,£20.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:35,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/camel-and-black-stripe-tube-dress-2177044?bi=1&ps=20
12249930,Billie and Blossom Zebra stripe dress,£25.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:39,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/billie-and-blossom-zebra-stripe-dress-2173455?bi=1&ps=20
07185501,Black foil wrap dress,£20.00,1,9,In stock,WHAT'S NEW,VIEW ALL NEW IN,No sale,2013/08/12 12:22:41,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/view-all-new-in-203544/black-foil-wrap-dress-2182577?bi=1&ps=20
07178414,Grey and black tube dress,£20.00,1,9,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:22:51,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/grey-and-black-tube-dress-2182510?bi=1&ps=20
56318510,Black twist sleeve dress,£16.00,1,9,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:22:53,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/black-twist-sleeve-dress-2164807?bi=1&ps=20
12246588,Billie and Blossom Berry twist midi dress,£20.00,1,9,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:22:56,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/billie-and-blossom-berry-twist-midi-dress-2181411?bi=1&ps=20
12246230,Billie and Blossom Berry belted dress,£22.00,1,9,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:22:59,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/billie-and-blossom-berry-belted-dress-2183456?bi=1&ps=20
12246200,Billie and Blossom Floral belted dress,£24.00,1,9,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:23:01,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/billie-and-blossom-floral-belted-dress-2183465?bi=1&ps=20
12247404,Luxe monochrome embellished dress,£38.00,1,8,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:23:04,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/luxe-monochrome-embellished-dress-2175904?bi=1&ps=20
12246530,Billie and Blossom Navy twist midi dress,£20.00,1,9,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:23:06,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/billie-and-blossom-navy-twist-midi-dress-2182472?bi=1&ps=20
12251313,Billie and Blossom Berry bar slinky dress,£25.00,1,9,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:23:08,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/billie-and-blossom-berry-bar-slinky-dress-2177218?bi=1&ps=20
12248321,Billie and Blossom Cobalt pleat crepe dress,£28.00,1,9,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:23:11,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/billie-and-blossom-cobalt-pleat-crepe-dress-2189802?bi=1&ps=20
12248103,Luxe black and white jumpsuit,£42.00,1,8,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:23:14,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/luxe-black-and-white-jumpsuit-2182660?bi=1&ps=20
12247410,Luxe blue embellished dress,£38.00,1,9,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:23:16,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/luxe-blue-embellished-dress-2178120?bi=1&ps=20
07185542,Gold foil wrap dress,£20.00,1,9,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:23:19,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/gold-foil-wrap-dress-2182588?bi=1&ps=20
07183803,Ivory black tube dress,£20.00,1,9,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:23:21,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/ivory-black-tube-dress-2186106?bi=1&ps=20
07181403,Black/white check 2in1 skater dress,£20.00,1,9,In stock,WHAT'S NEW,NEW IN CLOTHING,No sale,2013/08/12 12:23:24,http://www.dorothyperkins.com/en/dpuk/product/whats-new-203534/new-in-clothing-204073/blackwhite-check-2in1-skater-dress-2189520?bi=1&ps=20
